[2025-12-01 16:50:51.082291] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 16:50:51.084374] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 16:50:51.084374] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 16:50:51.084374] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:50:51.117495] [tm_devices] [ WARNING] 
The device `TCPIP0::10.59.31.94::inst0::INSTR` had data sitting in the VISA Output Buffer on first connection. 
Detected data in the buffer via the Status Byte register. 
The device_clear() will be called so VISA I/O buffers get flushed.
[2025-12-01 16:50:51.117495] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 16:50:52.505323] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-12-01 16:50:52.506298] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC SRIbinary'
[2025-12-01 16:50:52.507522] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 2'
[2025-12-01 16:50:52.507522] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STOPAfter SEQ'
[2025-12-01 16:50:52.507522] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STATE ON'
[2025-12-01 16:50:52.507522] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:52.645215] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:52.754276] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:52.756677] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:52.857488] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:52.857488] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:52.959967] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:52.960996] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.062566] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.062566] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.165926] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.165926] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.275928] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.277147] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.378724] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.380730] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.481624] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.483614] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.584503] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.586510] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.687671] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.687671] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.790597] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.790597] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.893608] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.894601] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:53.996526] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:53.998581] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.099462] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.101416] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.202241] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.202241] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.305749] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.307739] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.409254] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.410254] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.511765] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.511765] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.620386] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.622614] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.723708] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.723708] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:54.834202] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:54.834202] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '0'
[2025-12-01 16:50:54.834202] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STATE OFF'
[2025-12-01 16:50:54.887873] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-12-01 16:50:55.003878] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '156.2500E-6'
[2025-12-01 16:50:55.003878] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-12-01 16:50:55.015874] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-12-01 16:50:55.016810] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-12-01 16:50:55.019830] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '0.0E+0'
[2025-12-01 16:50:55.019830] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-12-01 16:50:55.029848] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-12-01 16:50:55.030802] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-12-01 16:50:55.315380] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH2'
[2025-12-01 16:50:55.316379] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:ENC SRIbinary'
[2025-12-01 16:50:55.317410] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:WIDTH 2'
[2025-12-01 16:50:55.318407] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STOPAfter SEQ'
[2025-12-01 16:50:55.319405] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STATE ON'
[2025-12-01 16:50:55.320405] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.327913] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:55.446215] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.448370] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:55.550491] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.551823] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:55.653741] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.654741] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:55.756009] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.757032] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:55.858301] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.858301] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:55.960713] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:55.961713] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.063175] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.064200] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.166012] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.166012] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.268384] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.269358] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.371636] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.373595] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.474514] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.475739] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.578812] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.580205] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.681397] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.683342] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.784867] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.786820] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.887543] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.888521] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:56.989902] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:56.991888] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:57.093007] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:57.094977] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:57.195711] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:57.197695] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:57.298447] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:57.298447] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:57.401185] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:57.401185] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:50:57.504119] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:50:57.506119] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '0'
[2025-12-01 16:50:57.506119] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STATE OFF'
[2025-12-01 16:50:57.558083] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-12-01 16:50:57.590194] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '78.1250E-6'
[2025-12-01 16:50:57.590194] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-12-01 16:50:57.590194] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-12-01 16:50:57.590194] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-12-01 16:50:57.600165] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '2.0000'
[2025-12-01 16:50:57.600911] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:XINCR?'
[2025-12-01 16:50:57.610784] [tm_devices] [    INFO] Response from 'WFMPRE:XINCR?' >>  '160.00E-12'
[2025-12-01 16:50:57.610784] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'CURVE?'
[2025-12-01 16:51:14.140660] [tm_devices] [    INFO] Closing Connections to Devices
[2025-12-01 16:51:14.140660] [tm_devices] [    INFO] Closing Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:51:14.140660] [tm_devices] [    INFO] DeviceManager Closed
