[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 16:48:34.348061] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 16:48:34.348061] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 16:48:34.353278] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 16:48:34.396547] [tm_devices] [ WARNING] 
The device `TCPIP0::10.59.31.94::inst0::INSTR` had data sitting in the VISA Output Buffer on first connection. 
Detected data in the buffer via the Status Byte register. 
The device_clear() will be called so VISA I/O buffers get flushed.
[2025-12-01 16:48:37.970982] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:37.972934] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:38.074135] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.076076] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:38.176858] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.178814] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '1'
[2025-12-01 16:48:38.279618] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQ:STATE?'
[2025-12-01 16:48:38.279618] [tm_devices] [    INFO] Response from 'ACQ:STATE?' >>  '0'
[2025-12-01 16:48:38.279618] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'ACQ:STATE OFF'
[2025-12-01 16:48:38.342508] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YMULT?'
[2025-12-01 16:48:38.346157] [tm_devices] [    INFO] Response from 'WFMPRE:YMULT?' >>  '156.2500E-6'
[2025-12-01 16:48:38.346157] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YOFF?'
[2025-12-01 16:48:38.346157] [tm_devices] [    INFO] Response from 'WFMPRE:YOFF?' >>  '0.0E+0'
[2025-12-01 16:48:38.346157] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'WFMPRE:YZERO?'
[2025-12-01 16:48:38.359685] [tm_devices] [    INFO] Response from 'WFMPRE:YZERO?' >>  '0.0E+0'
