[2025-12-01 15:09:13.119009] [tm_devices] [   DEBUG] timezone==Europe/Paris
[2025-12-01 15:09:13.130007] [tm_devices] [   DEBUG] tm_devices==3.4.0
[2025-12-01 15:09:13.130007] [tm_devices] [    INFO] Opening DeviceManager
[2025-12-01 15:09:13.130007] [tm_devices] [    INFO] Creating Connection to SCOPE 1 "SCOPE1"
[2025-12-01 15:09:13.210529] [tm_devices] [   DEBUG] SCOPE "SCOPE1" VISA timeout set to: 5000.000ms
[2025-12-01 15:09:13.756808] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:09:13.758842] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:09:14.262868] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:09:14.262868] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:09:14.766157] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:09:14.767983] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '1'
[2025-12-01 15:09:15.269662] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'ACQuire:STATE?'
[2025-12-01 15:09:15.269662] [tm_devices] [    INFO] Response from 'ACQuire:STATE?' >>  '0'
[2025-12-01 15:09:15.269662] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  ':DATA:SOURCE:AVAIL?'
[2025-12-01 15:09:15.275706] [tm_devices] [    INFO] Response from ':DATA:SOURCE:AVAIL?' >>  'CH1,CH7,CH8'
[2025-12-01 15:09:15.275706] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  'DATA:SOURCE CH1'
[2025-12-01 15:09:15.275706] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  'DATA:SOURCE?'
[2025-12-01 15:09:15.275706] [tm_devices] [    INFO] Response from 'DATA:SOURCE?' >>  'CH1'
[2025-12-01 15:09:15.275706] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Write >>  ':DATA:ENC ASCII'
[2025-12-01 15:09:15.282019] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  ':DATA:ENC?'
[2025-12-01 15:09:15.298568] [tm_devices] [    INFO] Response from ':DATA:ENC?' >>  'ASCII'
[2025-12-01 15:09:15.299541] [tm_devices] [    INFO] (SCOPE 1 "SCOPE1") Query >>  ':CURVE?'
